Time (Ma),Global mid-ocean ridge lengths (km),Mean global ridge velocities (cm/yr),Global ridge velocity standard deviation (cm/yr),Surface area of crust produced at ridges (km^2/yr),Global subduction zone lengths (km),Mean global subduction velocities (cm/yr),Global subduction velocity standard deviation (cm/yr),Surface area of crust subducted at trenches (km^2/yr),Global transform boundary lengths (km)
250.0,34576.0239746722,10.476164901919603,5.908818649463524,3.626789507295367,68694.68499649096,5.560050403084033,4.685813798712503,3.6370847315272203,14096.732120799588
249.0,34143.0489963442,10.832002978494353,4.051135869827628,3.702385656079346,67460.47825761267,6.871887686783197,7.8281913793556965,4.488652553929173,14314.060800810368
248.0,34145.82025654539,10.84096032339107,4.022597376824365,3.7058133002857434,67629.698892027,5.765864415397163,3.1268605402350262,3.774922014824387,13799.66470036944
247.0,34170.15578168656,10.85149371854045,3.9947450965393805,3.7121222254694164,67704.30023926884,5.784273903085437,3.1388260105513472,3.7902756481054345,13675.670775653072
246.0,34340.9480724503,10.893229900070292,3.995649910871379,3.745101864605471,68943.8351937822,5.703377895612294,3.214911197352722,3.8070178095526823,17307.173815331123
245.0,34248.237238610425,10.905400974458153,3.9868577529897213,3.7392158643607654,66830.45799334551,5.895158195644671,3.1329259587954006,3.8093674316712516,14327.108226228336
244.0,34277.53198724854,10.922188903737178,3.9747655643038264,3.7482370349333376,66807.96078342377,5.882964770171521,3.174807623538755,3.799188126152393,14279.180663696241
243.0,34306.0202675456,10.939648399800083,3.9598533714680864,3.7574089902382486,66797.29108069836,5.9028235011259556,3.1831520179614814,3.810420126784938,14230.936642127572
242.0,34333.71843337344,10.955189058022565,3.9501323777865016,3.765843113264114,66811.901001456,5.923069038428103,3.186760730334108,3.8234028065934917,14182.3682035547
241.0,34360.64243547987,10.969805362129723,3.938906216765844,3.7738811356397663,66830.72405871912,5.938132145260913,3.1916747305595328,3.8333048139854373,14133.467195978053
240.0,34843.53567025852,10.91623842253394,3.7718189472425556,3.8081467124687336,66566.73180803719,5.868764496052419,3.179805693106821,3.772139156210784,13260.533317686784
239.0,34865.62589263486,10.627666996676275,3.894971809091113,3.7098582603967967,66525.11322437535,6.162122678887406,3.5579521353316865,3.957731285519519,13212.853563982351
238.0,36560.5652272112,10.241786977575732,4.170056403705438,3.74843895039984,69506.08857822642,5.875979241134621,3.737532599826006,3.7957442491924844,16811.7899745347
237.0,36674.86484414238,10.230828071944469,4.149829681115582,3.756145679716295,69539.13433617308,5.874511741048877,3.7266479947033084,3.8033206501001877,16825.756890951965
236.0,36789.53605611616,10.220098485312134,4.129501192034806,3.763947412231868,65893.33900813403,6.0680642912656415,3.6241627066934283,3.8578160092874234,14914.655888702258
235.0,35122.62752089732,10.61449997271981,3.7904314695271686,3.7326678890555143,64338.87795910987,6.184811049614966,3.554754979374511,3.835766149582176,12976.212265789447
