Time (Ma),Global mid-ocean ridge lengths (km),Mean global ridge velocities (cm/yr),Global ridge velocity standard deviation (cm/yr),Surface area of crust produced at ridges (km^2/yr),Global subduction zone lengths (km),Mean global subduction velocities (cm/yr),Global subduction velocity standard deviation (cm/yr),Surface area of crust subducted at trenches (km^2/yr),Global transform boundary lengths (km)
230.0,32990.255042813005,9.599530864957202,3.8486161276616295,3.1708088021931387,73653.73220914949,4.532799205800911,3.6364948415412814,3.33852933513507,12032.867055210669
229.0,36514.35533082839,8.125912608717027,3.5175093124275447,2.9707019200780715,73493.08188811716,4.000765713493484,2.3344705025376222,2.940232705729324,8667.470982055262
228.0,39337.351624045565,7.9663243332618725,3.4570233611323777,3.13725724263798,79200.2079990492,3.729309041656652,2.4003293014746507,2.846222066178233,8646.937802206066
227.0,36754.19946095309,8.090047287297478,3.5232017485682885,2.977068121564475,73159.34793047098,4.018683712694332,2.341539650060171,2.9399019835942912,8626.37447647473
226.0,36856.479883348475,8.080978467425306,3.5130884625342165,2.982031212518022,72999.24494901301,4.026613784884631,2.3445203388282096,2.9391160776359673,8605.782277200457
225.0,36879.7550834015,8.083450261087467,3.4985720229773,2.9848537970945426,72837.37341576263,4.035626292049795,2.3487474062116616,2.939340458115396,8585.16246135479
224.0,36943.22305902419,8.082415634452076,3.4832264324956146,2.989631631139381,72684.73410723769,4.04363835726476,2.3535623709479694,2.938991848187325,8585.796751810176
223.0,37008.32988357592,8.081304047001998,3.46527346860424,2.9945107195608203,72542.06802392461,4.050529534467623,2.3591167537968163,2.938210048641915,8597.999126959914
222.0,37073.15822163431,8.081536211604979,3.4458691595914566,2.9998640288024703,72398.79463669546,4.057927635852892,2.3656479596256954,2.9377509306101537,8610.156680273907
221.0,37137.2757498819,8.08140241015358,3.4258245594479884,3.0050233779802578,72257.18799279071,4.0643609608455185,2.372472990241334,2.9366413551545816,8622.270754384517
220.0,37047.29609836914,7.879520082269859,3.7419296580696826,2.9225005589187036,72107.01066147702,4.077639807332304,2.3727892134489283,2.9401012435423803,9252.182540888778
219.0,36547.80175831202,7.9628982499140895,3.6824435296614446,2.9136258291581845,71966.66980513665,4.074789680375307,2.810237479451466,2.9323045445469735,9864.82944417698
218.0,36655.99380550184,7.956491993865366,3.681683149873077,2.9199214347876405,71823.96592971044,4.084122483481852,2.8068765552328014,2.9331696024743916,9877.306525256095
217.0,36765.631537818605,7.953427303645133,3.6781134196430343,2.92754707138626,71679.80363965934,4.092933636882294,2.8043664917616318,2.9335746247430783,9889.951220306366
216.0,36885.36597974085,7.949435084479887,3.6717840027622004,2.935625524140316,71534.0796303782,4.101427326069768,2.802159571213858,2.9336632890302408,9902.54936497943
215.0,36881.3339971443,7.931459494998778,3.6935588774870207,2.9286318476997515,71387.39014460183,4.1084253956326595,2.802469507554969,2.932620064843689,10137.995135349114
214.0,36450.97088883144,8.0285798800813,3.6188308435870065,2.9299000798198493,71239.2315982974,4.117738532992616,2.7996250980605324,2.933145111723494,10690.710300945468
213.0,36555.148363107364,8.021538828075965,3.622029199057068,2.935713887916501,71089.12695962845,4.127844758034293,2.7977013645801208,2.9341262029462585,10704.36321065513
212.0,36638.31824402859,8.018615454333117,3.623358046981467,2.941337564865491,70930.47192223629,4.138746236674498,2.797651165273952,2.935288073755518,10717.970034572627
211.0,36694.018304881225,8.020889495156275,3.619660227934018,2.946661481582444,70769.40462840989,4.146256573725471,2.798701953868716,2.9339158880356413,10731.53263643657
210.0,36234.30225574624,7.957097488293124,3.6409215377610717,2.886564751246865,70608.40848217953,4.155705260624377,2.798238148563021,2.9338913004453913,10750.601754649908
209.0,38036.554813850176,7.614592820910675,3.8807772737651027,2.8997331512748272,70488.3871891413,4.266027962865483,2.9718600095875187,3.0066374108275506,9089.688190238125
208.0,38184.455043416114,7.601413795217678,3.8856929891431045,2.905957173100487,70327.77568775712,4.271543034497622,2.9729932424583807,3.0036445228611215,9103.272314511507
207.0,38309.9756461459,7.589587553620662,3.8900699486126977,2.9109604524863997,70165.15199110055,4.2773569516832755,2.9742790575452536,3.0007579271021534,9116.768345383238
206.0,37325.13351714345,7.798411877242032,3.734957553589755,2.9141057850899825,69999.04824844415,4.284096526595738,2.9763417547130913,2.9983516380336197,10221.606709645028
205.0,37429.96336094295,7.79506085403936,3.737674464902944,2.921020735505059,69830.24821082751,4.290301642525455,2.9750126639290317,2.9954345340944246,10163.231491767734
204.0,37344.05564056056,7.8108262623334594,3.7335451950891314,2.920202408973619,69655.51578952406,4.296826421822155,2.975972145509605,2.99246503072652,10280.82180623233
203.0,37462.04922764249,7.803628502171969,3.7349185415363935,2.9267145365326535,69475.21967043217,4.303413754735994,2.9782829301811016,2.989277605764542,10196.839885715179
202.0,37532.442670928576,7.805335941004009,3.730561674782885,2.9328368668329143,69287.26137526389,4.3082415046354905,2.981910465716495,2.9845174311004934,10131.624909328104
201.0,37615.29707705583,7.801312207169805,3.729920932132372,2.937780147029435,69125.88122564377,4.315335499703802,2.9863496636170925,2.98245732952389,10075.846003473622
200.0,35708.34534688468,8.190338490305779,3.3481305034109345,2.9279540938339044,69768.71861901847,4.645341255157514,3.32651115432954,3.2403059946888106,8812.237970272374
199.0,37905.468014954735,8.487544221925452,3.594952711619949,3.2210275920061284,69642.17591209446,4.420572970098549,3.839779314484446,3.0779152232925506,9775.623314312983
198.0,37898.83849197503,8.465218640466023,3.6038147504600997,3.2119840940998095,69392.82691010988,4.432565428282863,3.8302682835149517,3.0752056889092567,9732.399051027593
197.0,37810.008476779105,8.433927650747412,3.6089631795541792,3.1925954147809588,69117.08533981026,4.445767254076433,3.820145697988267,3.0720995097056507,9712.182168175974
196.0,39205.425714284356,8.170084465428145,3.805084356092111,3.2068527578100463,68836.8780850876,4.456799094745979,3.8103175783961336,3.0672291255784407,8301.577644790224
195.0,39235.392704645245,8.160698025595641,3.811513322478811,3.2056112433225854,68448.45451085796,4.471903023916173,3.8059477733996787,3.060247726630275,8324.720498809535
194.0,39258.657943728904,8.157331298615691,3.814144365598682,3.2061824007721995,68007.77840298582,4.681580932012709,3.666176018919774,3.1830853775841788,8297.867365767375
193.0,39282.77246572683,8.151722933068339,3.8162748686768304,3.205939338670761,67720.20846908602,4.700535224646047,3.6754310545240014,3.182448323477891,8271.66157741131
192.0,38887.675044796175,8.229928432026222,3.7558507914766253,3.204140484807673,67551.36893049907,4.71101137245837,3.680523107731576,3.1815890651369654,8654.234540166342
191.0,38910.09906565301,8.226099169721763,3.7573109524333006,3.204486931422036,67344.19850140472,4.724564437068725,3.6908859404319503,3.180956230747498,8514.929119163267
190.0,39165.70023879272,7.922612024540299,3.7019443184664933,3.106648949230717,64546.10071115668,4.549313987307794,3.811264652241209,2.935825342173328,9097.52837532243
189.0,39915.675446208574,7.845704221006895,3.500670546452293,3.1354046775566116,64590.59702510003,4.840748945898346,2.93450556004367,3.125410404331293,8461.995771737698
188.0,40132.570914705284,7.824988665929027,3.461334595126747,3.14410517199764,64602.49713938283,4.84105562123086,2.9330942009437684,3.126866549758691,8421.435636200424
187.0,40326.341142236066,7.805331189506365,3.4210128600488052,3.151343099090257,64629.05085604218,4.844603947158353,2.930372015950415,3.130465038421255,8240.028198811528
186.0,40501.052854868954,7.792366670821921,3.379239703775276,3.1597378942266388,64897.41429615437,4.839209071758377,2.9248423183522223,3.1399620847202865,7940.368051759562
185.0,40751.00701463835,7.778758305147575,3.324685034858322,3.1736933702948433,64834.21120003999,4.836155194936404,2.9277302774794483,3.134944608538956,7863.645643839702
184.0,40916.88379821688,7.767489371151987,3.277347760479741,3.181994529091835,64770.92291906914,4.831986427707968,2.931684220872052,3.129205011794413,7890.690261009369
183.0,40915.97011063105,7.763050587488277,3.238126232829321,3.180092505246531,64709.61566668914,4.827394034378976,2.935822227099841,3.123292258628145,8044.533038781058
182.0,39897.43261476148,7.851657235627761,3.185698036016689,3.1363755116236156,64644.00056575535,4.822327368470984,2.940948358408968,3.1168708052815397,9246.555334950786
181.0,40127.5678175356,7.829769125508133,3.1482541731999576,3.145666859872146,64612.428685939565,4.818761349127643,2.9444720315984476,3.1130620533057445,9180.095643063863
180.0,45995.703054251,6.811211815847654,3.6130100915068213,3.1369703217290765,63483.09087044958,4.525648622919456,3.0697812841071803,2.8727042370078517,6504.736710569174
179.0,46260.587043736596,8.072303188979125,4.346569794760687,3.7391911042529253,63429.17218126206,6.0150180170568,3.2692280873617388,3.8148474901788005,6502.1271431480545
178.0,46535.49409227236,8.035936594177517,4.28808247293738,3.744469086914566,63374.066394356974,6.022392934986467,3.2668545223674625,3.816199123721991,6499.519520589929
177.0,46810.67484718344,8.001490674554084,4.230097704710862,3.750468819564639,63323.73691798034,6.030097595394218,3.2635115604432587,3.8180399641402936,6496.913834969745
