Time (Ma),Global mid-ocean ridge lengths (km),Mean global ridge velocities (cm/yr),Global ridge velocity standard deviation (cm/yr),Surface area of crust produced at ridges (km^2/yr),Global subduction zone lengths (km),Mean global subduction velocities (cm/yr),Global subduction velocity standard deviation (cm/yr),Surface area of crust subducted at trenches (km^2/yr),Global transform boundary lengths (km)
250.0,39542.84733052045,10.045580684230119,6.022810071232701,3.9765390415098567,69992.6855411998,6.325078101253223,4.3134166628436965,4.426266597773749,9082.080833076028
249.0,36166.5115788097,10.522225694437996,4.082676781524405,3.809463110443963,70093.79033744692,5.657863897697539,4.113065056278716,3.952786023112374,12396.391246850866
248.0,36138.65811585492,10.398738403001644,4.185128420078238,3.761926013654841,69639.86974668503,5.791186162276903,4.188847874530374,4.033295153681199,12431.902499199026
247.0,36102.490468122465,10.421045084613576,4.165210041870573,3.7662921975738497,69465.999810791,5.829588754755489,4.192110921190419,4.049884609102399,12466.863417395793
246.0,36064.16989060274,10.44567387108162,4.141794811555924,3.771254780513728,69291.3253823716,5.869952749509346,4.195595549158053,4.067651971442569,12501.241523317349
245.0,36024.72530430418,10.466399106700838,4.1207587356689,3.7746719128968818,69126.05555623844,5.836254541105747,4.097985135487724,4.034635066328864,12535.003862774694
244.0,34123.49252948204,10.816649514926258,3.946641602287099,3.695382883981365,69054.60796703942,5.934455839543828,4.211010885514062,4.098270436836258,14429.077443975853
243.0,34166.725236471204,10.82636129508894,3.9262868338987866,3.7034367839151345,68995.22539408787,5.956464198140048,4.220324369566509,4.109919302709027,14382.64018894348
242.0,34210.341300689135,10.83504828563956,3.9065343377009936,3.711189061611857,68935.84031325256,5.976208476973558,4.225715071411686,4.119980181365035,14330.74282533962
241.0,34254.333876847246,10.842768811108574,3.8872837944190954,3.718657688628028,68868.52194980142,5.995390527554113,4.231398666894077,4.129154054021102,14273.908566607659
240.0,33104.61111561987,10.802028229808705,3.878234719681303,3.5802513987654154,67409.99317383619,6.063135580359875,4.247166562031219,4.087375725574239,14853.71040747825
239.0,34738.967341563366,10.65685769691425,3.9524113926892186,3.7066528827605976,67131.78826086315,6.589398671234569,4.071809888241503,4.423817922963124,13214.358712175783
238.0,34829.449153035974,10.654908202155392,3.938434855981712,3.7156492166352995,65547.78215580183,6.6340150969064045,4.1007863986472834,4.348630170819799,13163.33015074473
237.0,34947.447708176245,10.656325545750123,3.929059419648134,3.7287528905429173,65526.30020419815,6.628893373209504,4.098648753418365,4.343825091117925,13097.647166554892
236.0,35062.57650917523,10.659389637667541,3.9208947222725103,3.7421316037523806,65006.9664323158,6.652315648924868,4.094633299508405,4.324650149356508,13032.91765164799
235.0,35187.688039989116,10.662359506934205,3.9127346470783166,3.7565506044943286,64695.14129270136,6.653797986250148,4.095632613298946,4.304862625875005,12917.901984187856
234.0,35306.79339594881,10.6667243027083,3.903272810312937,3.7708318588179996,64463.71364686568,6.6146118951021435,4.144265590753777,4.26419134996426,12777.778195686364
233.0,33741.50607643366,10.54580734193154,3.8936246433581303,3.5627356508599144,64228.201585015675,6.616561632352534,4.143198970441897,4.249851679183503,14240.797089199008
232.0,33840.51867414352,10.541073703334389,3.872603659607928,3.5716114443916047,63995.088930461665,6.612824837725851,4.143742468400193,4.232021049538723,14124.412044153863
231.0,33934.27421802698,10.539525618408113,3.84979242637722,3.581005470505469,63789.94881578389,6.612722207662462,4.145274157252608,4.218375213280666,14020.064264624143
230.0,36207.31683663222,9.804976747881152,4.585218821650193,3.554752692005439,61876.56734462245,6.7842225504810765,4.165537216906419,4.183597712809068,15963.506070158648
229.0,41908.990424125914,8.103306809595964,3.768194529727098,3.400298344299896,67463.13912463922,5.206465725069409,3.566516559141792,3.5120430703401024,10727.315754637504
228.0,41954.016064399504,8.09341671235274,3.7720017825745917,3.3998130889985365,67396.6844014844,5.200134149717828,3.56577505066115,3.5042969588479598,10712.11674166593
227.0,40743.50680803171,8.283218858905974,3.6484817231036697,3.3791601663711996,67327.41086048044,5.191391194449077,3.563290000941465,3.4947896389818203,11969.65116335968
226.0,40801.23253238808,8.269720900258863,3.6523888484070017,3.3784477500084007,67259.47975167754,5.180924073348356,3.560765998717192,3.4842049870547296,11970.733062389801
225.0,40858.63940316326,8.25514011842303,3.6548817611699054,3.3772499704132706,67192.8857772899,5.170844211722558,3.55828666124768,3.4719999684917835,11971.636900487174
224.0,40921.96722106472,8.240448022311687,3.6603192041179224,3.376477682430678,67360.02526213317,5.144917347239105,3.5630510509825037,3.465120071230342,11970.145877841698
223.0,40992.68346185989,8.22138393599912,3.6664899299749836,3.374499938485295,67415.23249032062,5.134201936853202,3.5565622282584703,3.4607170609128453,11968.487011379833
222.0,41063.4106792037,8.205374226659876,3.672518015738427,3.3737514343683217,67463.73342606475,5.1240759947564785,3.5509925628965084,3.456358168946902,11966.672936463508
221.0,41020.40912607654,8.205117285207995,3.666133580823002,3.3701191848927046,67489.2500282707,5.114649079493819,3.5476560177320735,3.451288587621477,11988.354321353998
220.0,39806.19463085007,8.204869083242412,3.868090317004223,3.270069887749785,67507.30404144827,5.114422712685883,3.546177623765579,3.4520440243654016,9413.050471030352
219.0,39982.230142469816,8.331409596523862,3.5872332494873937,3.335190882104669,67420.328811389,5.274457926926043,4.133022781317713,3.5554549727398643,9262.315101554628
