Time (Ma),Total ridge length (km),Mean ridge spreading rate (cm/yr),Mean ridge spreading rate SD (cm/yr),Crustal formation rate (km^2/yr),Total subduction zone length (km),Mean trench convergence rate (cm/yr),Mean trench convergence rate SD (cm/year),Crustal subduction rate (km^2/yr),Total transform length (km)
0.0,61.88337640224241,4.574778168000925,3.834106324831283,0.00314930690837592,62.48265913766124,4.137854757401087,3.2395265961571904,0.002590371696964365,42.659680337920975
1.0,59.31842727287507,4.411120779790654,3.8567584947290046,0.0029743225717225037,62.21852145326933,4.3778237493332846,3.6748492652521336,0.002732972766520087,40.14515345716086
2.0,60.44211621618428,4.392537930599207,3.8785107232678904,0.0030545701807731854,62.4111793194112,4.1533094690568015,3.2739801220131732,0.002586804312466891,40.486687386766306
3.0,62.88880088896627,4.486844621728818,3.8897785149289312,0.0031825022882275207,63.63046197219541,4.208913675079959,3.275524982269059,0.002621770051847369,41.32775674910516
4.0,63.610796026656814,4.694464582133938,3.9982784603506247,0.0033264030573553556,65.2568402754603,4.3399745767476965,3.2899619571941754,0.0027783974764383703,42.73577875036625
5.0,61.80748046286371,4.7849637441903585,4.303731079578585,0.0033367794154416527,63.09924143997667,4.890022232085571,3.80320404808508,0.00310256942084249,41.33259784022615
6.0,67.57470538950474,4.90416788724018,4.046208355932659,0.0036583156765306094,66.20818010185066,4.74208272097353,3.8661268524795767,0.0030120975254246682,39.227728850051484
7.0,65.48710334237474,4.619551371691828,3.8452585712737983,0.0033364380708257213,66.2898862236982,4.470087247264605,3.596912785500636,0.002873066139644863,38.87109775167705
8.0,61.85024806186811,4.628859738109905,4.050313122906061,0.003173754215985832,66.79574292515511,4.58407230472337,3.542262674922055,0.0029356331353851232,42.70617952242021
9.0,64.11373302884195,4.63739749482948,4.03557507989172,0.0032813111437554323,67.79597793711089,4.645387342034195,3.647099574883556,0.0029597214143468873,40.65790750318163
10.0,66.65571311559036,4.896636880864816,4.277304055746849,0.0036388729055891705,68.54521867420115,4.6257026795517415,3.84428843449291,0.002956503831510324,39.889758801286845
11.0,60.89168041955211,4.799703398527523,4.359503400515468,0.003344489025550063,65.1653041203568,4.649328381011009,3.8952213468421872,0.0030287315433856514,35.92482834068524
12.0,60.43365733349628,4.890663741797731,4.379390698499604,0.0034114412940212807,65.29489661484166,4.484055639284475,3.8261442976736464,0.0029292696192027992,34.728294681980465
13.0,62.25863779207579,5.056901750486802,4.601586524827749,0.003619432601605809,66.56789683700165,4.641614825907088,4.07693775913868,0.00307450890771616,34.78524375844333
14.0,61.476984456388536,4.98765156932753,4.6277940471400045,0.0035307171011117614,65.89665836424702,4.689770193083087,4.082513974977107,0.0030905032754473386,33.63974097485962
15.0,61.681553504606605,4.713159486163394,4.5360403060819285,0.003343111942977881,65.40034756075897,4.794997504872528,4.366851246208915,0.0032028897344795865,35.967798207379104
16.0,60.92998544738744,5.023512791648437,4.6540386342788675,0.0036154168730368817,69.26438564384482,4.921075117516522,4.387932773874937,0.003364312260297846,36.13714805304702
17.0,61.76623733246601,5.126859655723727,4.499430079371238,0.003669097126299636,70.82783109123348,4.497795643488618,3.8903324668170383,0.0030549639068898206,34.404599148751046
