Deposit,Scale,Country,Longitude,Latitude,Tectonic_Province,Deposit_Type,Resource,Total_Tonnage_Mt,Au_Grade_g_t,Au_Tonnage_Moz,Cu_Grade_percent,Cu_Tonnage_Mt,Age,FROMAGE,TOAGE,Dating_Method,Age_for_plot_Ma,Age_group,Age_Reference
Baia,Prospect,PNG,142.53,-5.95,NGO,Porphyry,Cu-Au,NaN,NaN,NaN,NaN,NaN,1.7 Ma,1.7,1.7,U-Pb (zircon),0-3,1,This study
Esis,Prospect,PNG,151.74,-5.04,Island Arcs,Porphyry,Cu-Au,NaN,NaN,NaN,NaN,NaN,25 Ma,25,25,K-Ar,24-27,7,"Hine et al., 1978; Garwin et al., 2005"
Fauro Island,Prospect,Solomon Islands,156.04,-6.84,Island Arcs,Epithermal-porphyry,Au,NaN,NaN,NaN,NaN,NaN,3.5 Ma,3.5,3.5,U-Pb (zircon),3-6,2,This study
Hidden Valley (Solomon),Prospect,Solomon Islands,159.73,-9.37,Island Arcs,Porphyry,Cu-Au,NaN,NaN,NaN,NaN,NaN,24-21 Ma,24,21,K-Ar U-Pb (zircon),21-24,6,"Hackman, 1980; Tapster et al., 2014"
Ipi River,Prospect,PNG,146.71,-8.25,NGO,Porphyry,Au-Cu-Mo,NaN,NaN,NaN,NaN,NaN,4.9 Ma,4.9,4.9,U-Pb (zircon),3-6,2,This study
Kele River,Prospect,Solomon Islands,158.07,-8.75,Island Arcs,Porphyry,Cu-Au,1.5,1.8,0.1,NaN,NaN,< 2.5 Ma,2.5,0,NaN,0-3,1,"Dunkley, 1986"
Mase,Prospect,Solomon Islands,157.52,-8.08,Island Arcs,Porphyry,Cu-Au,NaN,NaN,NaN,NaN,NaN,3.5 Ma,3.5,3.5,NaN,3-6,2,"Singer et al., 2008"
Poha,Prospect,Solomon Islands,159.83,-9.43,Island Arcs,Porphyry,Cu,NaN,NaN,NaN,NaN,NaN,24.4-21 Ma,24.4,21,K-Ar (Hbl),21-24,6,"Chivas and McDougall, 1978"
Sutakiki,Prospect,Solomon Islands,160.08,-9.69,Island Arcs,Porphyry-epithermal-skarn,Au-Cu,NaN,NaN,NaN,NaN,NaN,< 1.5 Ma,1.5,0,U-Pb (zircon),0-3,1,This study
Tirua,Prospect,Solomon Islands,157.79,-8.47,Island Arcs,Epithermal,Au,NaN,NaN,NaN,NaN,NaN,< 2.5 Ma,2.5,0,U-Pb (zircon),0-3,1,This study
Wamum,Prospect,PNG,146.28,-6.75,NGO,Porphyry,Cu-Au,45,0.12,0.2,0.3,0.1,12.1-11.9 Ma,12.1,11.9,U-Pb (zircon),9-12,4,"Holm et al., 2015"
